Byline,Sumy,distilbart,Pegasus,TextTeaser,SMMRY,Bart,Bert,Roberta,,FirstSentence,Sumy,distilbart,Pegasus,TextTeaser,SMMRY,Bart,Bert,Roberta,,MikeSum,Sumy,distilbart,Pegasus,TextTeaser,SMMRY,Bart,Bert,Roberta,,title,Sumy,distilbart,Pegasus,TextTeaser,SMMRY,Bart,Bert,Roberta
SpaceBezos,0.241,0.086,0.093,0.054,0.153,0.133,0.153,0.27,,SpaceBezos,0.085,0.114,0.187,0.076,0.214,0.411,0.214,0.153,,SpaceBezos,0.272,0.148,0.235,0.133,0.17,0.339,0.17,0.177,,SpaceBezos,0.163,0.204,0.217,0.2,1,0.25,1,0.15
GoogleInfringedPatents,0.333,0.095,0.26,0.303,0.303,0.232,0.333,0.27,,GoogleInfringedPatents,0.339,0.114,0.256,0.461,0.461,0.166,0.339,0.266,,GoogleInfringedPatents,0.465,0.327,0.203,0.13,0.13,0.357,0.465,0.24,,GoogleInfringedPatents,1,0.272,0.314,0.315,0.315,0.298,1,0.36
AlibabaRape,0.196,0.28,0,0.25,0.246,0.17,0.034,0.266,,AlibabaRape,0,0.157,0.032,0.142,0.037,0.171,0.043,0.121,,AlibabaRape,0.15,0.23,0.053,0.285,0.119,0.204,0.1,0.212,,AlibabaRape,0.059,0.181,0.606,0.142,0.172,0.158,1,0.163
WhatLikeSchoolNow,0.131,0.181,0.15,0.255,0.222,0.233,0.146,0.245,,WhatLikeSchoolNow,0.166,0.238,0.222,0.176,0.12,0.187,0.214,0.136,,WhatLikeSchoolNow,0.245,0.196,0.444,0,0.169,0.383,0.486,0.188,,WhatLikeSchoolNow,0.24,0.227,0.896,0.111,0.115,0.454,1,0.13
TalibanFuture,0.19,0.097,0.129,0.055,0.181,0.2,0.162,0.114,,TalibanFuture,0.048,0.25,0.2,0.228,0.185,0.163,0.222,0.294,,TalibanFuture,0.249,0.17,0.108,0.19,0.131,0.142,0.093,0.195,,TalibanFuture,0.042,0.173,0.666,0.146,0.166,0.399,1,0.25
BiggestDigitalMediaCompany,0.031,0.15,0.307,0.058,0.307,0.311,0.232,0.292,,BiggestDigitalMediaCompany,0.096,0.21,0.27,0.062,0.16,0.279,0.195,0.205,,BiggestDigitalMediaCompany,0,0.108,0.111,0,0.122,0.142,0.1,0.21,,BiggestDigitalMediaCompany,0.121,0.213,0.216,0.579,0.229,0.175,0.743,0.131
EuropeCovidAidWindingDown,0.208,0.163,0.262,0.181,0.111,0.163,0.208,0.204,,EuropeCovidAidWindingDown,0.142,0.105,0.08,0.242,0.075,0.157,0.142,0.052,,EuropeCovidAidWindingDown,0.276,0.17,0.203,0.19,0.295,0.127,0.276,0.085,,EuropeCovidAidWindingDown,1,0.171,0.365,0.215,0.198,0.228,1,0.199
AmazonLaborPractices,0.161,0.127,0.086,0.146,0.209,0.145,0.186,0.111,,AmazonLaborPractices,0.086,0.064,0.066,0.08,0.067,0.102,0.074,0.105,,AmazonLaborPractices,0.363,0.156,0.199,0.222,0.128,0.237,0.127,0.241,,AmazonLaborPractices,0.101,0.09,0.186,0.105,0.117,0.269,1,0.235
MysteriousHackerGroup,0.188,0.114,0.25,0.066,0.093,0.208,0.188,0.294,,MysteriousHackerGroup,0.17,0.068,0.058,0.166,0.103,0.142,0.17,0.071,,MysteriousHackerGroup,0.205,0.24,0.145,0.088,0.253,0.317,0.205,0.163,,MysteriousHackerGroup,1,0.178,0.262,0.156,0.141,0.173,1,0.218
ChinaSentencesCanadianBusinessman,0.145,0.166,0.235,0.222,0.117,0.28,0.215,0.367,,ChinaSentencesCanadianBusinessman,0.146,0.181,0.108,0.193,0.054,0.232,0.156,0.228,,ChinaSentencesCanadianBusinessman,0.25,0.27,0.269,0.173,0.115,0.344,0.212,0.24,,ChinaSentencesCanadianBusinessman,0.216,0.109,0.171,0.218,0.114,0.157,1,0.235
AfghanistanGovCollapses,0.196,0.204,0.285,0.157,0.238,0.243,0.28,0.25,,AfghanistanGovCollapses,0.178,0.09,0.216,0.06,0.054,0.277,0.23,0.148,,AfghanistanGovCollapses,0.243,0.258,0.181,0.235,0.181,0.222,0.314,0.266,,AfghanistanGovCollapses,0.333,0.388,0.307,0.163,0.246,0.312,1,0.218
TeenCrashNFTArt,0.102,0.078,0.177,0.043,0.172,0.192,0.047,0.127,,TeenCrashNFTArt,0.129,0.114,0.206,0.066,0.092,0.222,0.153,0.258,,TeenCrashNFTArt,0.054,0.043,0.1,0.048,0.078,0.17,0.054,0,,TeenCrashNFTArt,0.111,0.133,0.102,0.099,0.133,0.13,1,0.097
nowGoingViral,0.149,0.115,0.158,0.17,0.268,0.29,0.212,0.074,,nowGoingViral,0.078,0.055,0.17,0.129,0.06,0.304,0.129,0,,nowGoingViral,0.343,0.122,0.233,0.136,0.101,0.372,0.272,0.235,,nowGoingViral,0.281,0.204,0.166,0.136,0.126,0.271,1,0.117
DrowningNewJerseyShore,0.159,0.235,0.322,0.105,0.101,0.212,0.159,0.27,,DrowningNewJerseyShore,0.139,0.227,0.416,0.064,0.076,0.25,0.139,0.266,,DrowningNewJerseyShore,0.039,0.115,0.125,0.051,0.166,0.208,0.039,0.21,,DrowningNewJerseyShore,1,0.173,0.285,0.071,0.025,0.184,1,0.145
AppleFlagChildSexAbuse,0.176,0.193,0.25,0.218,0.166,0.065,0.07,0.148,,AppleFlagChildSexAbuse,0.043,0.1,0.235,0.484,0.04,0.051,0.057,0.062,,AppleFlagChildSexAbuse,0.222,0.125,0.38,0.195,0.103,0.085,0.093,0.25,,AppleFlagChildSexAbuse,0.254,0.081,0.139,0.095,0.169,0.75,1,0.048
JapanEconomyReturns,0.185,0.324,0.27,0.09,0.258,0.367,0.185,0.375,,JapanEconomyReturns,0.133,0.214,0.214,0,0.15,0.3,0.133,0.205,,JapanEconomyReturns,0.245,0.3,0.199,0.085,0.338,0.346,0.245,0.235,,JapanEconomyReturns,1,0.301,0.226,0.199,0.205,0.338,1,0.25
MassagesPrivateShoppingTrips,0.276,0.196,0.133,0.09,0.185,0.145,0.276,0.204,,MassagesPrivateShoppingTrips,0.039,0,0.129,0.066,0.099,0.048,0.039,0.057,,MassagesPrivateShoppingTrips,0.388,0.301,0.212,0,0.071,0.28,0.388,0.196,,MassagesPrivateShoppingTrips,1,0.285,0.218,0.126,0.082,0.297,1,0.235
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVERAGE,0.2285,0.217,0.248,0.164,0.2525,0.194,0.288,0.2405,,AVERAGE,0.0395,0,0.207,0.087,0.138,0.107,0.1645,0.0605,,AVERAGE,0.313,0.2985,0.3055,0.148,0.229,0.272,0.388,0.202,,AVERAGE,0.649,0.264,0.3085,0.171,0.248,0.2715,1,0.2935
